"column_name"," column_type"," offset_start"," offset_end"," length"," description"
"prop_id","int(12)","1","12","12","Property ID"
"prop_type_cd","char(5)","13","17","5","Property Type Code:
R = Real
P = Business Personal Property
M = Mobile Home
MN = Mineral
A = Automobiles"
"prop_val_yr","numeric(5)","18","22","5","Appraisal or Tax Year"
"sup_num","int(12)","23","34","12","Supplement Version Number - 0 = represents certified data, supplemental data otherwise"
"sup_action","char(2)","35","36","2","Supplemental Action - If sup_num > 0, indicates the action to be taken on the property:
'A' - Add
'M' - Modify
'D' - Delete"
"sup_cd","char(10)","37","46","10","Supplement Change Code - User defined"
"sup_desc","char(500)","47","546","500","Supplement Change Description"
"geo_id","char(50)","547","596","50","Geographic ID"
"py_owner_id","int(12)","597","608","12","Property Year Owner ID – PACS Internal ID"
"py_owner_name","char(70)","609","678","70","Property Year Owner Name"
"partial_owner","char(1)","679","679","1","Partial Owner ('T' or 'F')
This indicates if there are other owners for this property.  The additional owners will appear as separate records in this layout."
"udi_group","int(12)","680","691","12","This field indicates the UDI group that a partial owner is part of.  This is used to group multi owner properties."
"filler","char(2)","692","693","2","Not In Use"
"py_addr_line1","char(60)","694","753","60","Property Year Owner Address Line 1"
"py_addr_line2","char(60)","754","813","60","Property Year Owner Address Line 2"
"py_addr_line3","char(60)","814","873","60","Property Year Owner Address Line 3"
"py_addr_city","char(50)","874","923","50","Property Year Owner Address City"
"py_addr_state","char(50)","924","973","50","Property Year Owner Address State"
"py_addr_country","char(5)","974","978","5","Property Year Owner Address Country"
"py_addr_zip","char(5)","979","983","5","Property Year Owner Address Zip (Zip Only)"
"py_addr_zip_cass","char(4)","984","987","4","Property Year Owner Address Zip Cass (Cass Only)"
"py_addr_zip_rt","char(2)","988","989","2","Property Year Owner Address Zip Route (Route Only)"
"py_confidential_flag","char(1)","990","990","1","Property Year Owner Confidential Flag ('T' or 'F')"
"py_address_suppress_flag","char(1)","991","991","1","Property Year Owner 
Address Suppression Flag ('T' or 'F')"
"filler","char(20)","992","1011","20","Not In Use"
"py_addr_ml_deliverable","char(1)","1012","1012","1","Property Year Owner Address
Y = deliverable address
N = undeliverable address"
"filler","char(27)","1013","1039","27","Not In Use"
"situs_street_prefx","char(10)","1040","1049","10","Situs/Location Street Prefix"
"situs_street","char(50)","1050","1099","50","Situs/Location Street"
"situs_street_suffix","char(10)","1100","1109","10","Situs/Location Street Suffix"
"situs_city","char(30)","1110","1139","30","Situs/Location City"
"situs_zip","char(10)","1140","1149","10","Situs/Location Zip"
"legal_desc","char(255)","1150","1404","255","Legal Description"
"legal_desc2","char(255)","1405","1659","255","Additional Legal Description"
"legal_acreage","numeric(16)","1660","1675","16","Legal Acreage (4 Decimals)"
"abs_subdv_cd","char(10)","1676","1685","10","Abstract/Subdivision code"
"hood_cd","char(10)","1686","1695","10","Neighborhood code"
"block","char(50)","1696","1745","50","Block"
"tract_or_lot","char(50)","1746","1795","50","Tract/lot"
"land_hstd_val","numeric(15)","1796","1810","15","Land Homestead Value"
"land_non_hstd_val","numeric(15)","1811","1825","15","Land Non-Homestead Value"
"imprv_hstd_val","numeric(15)","1826","1840","15","Improvement Homestead Value"
"imprv_non_hstd_val","numeric(15)","1841","1855","15","Improvement Non-Homestead value"
"ag_use_val","numeric(15)","1856","1870","15","Agriculture Use Value"
"ag_market","numeric(15)","1871","1885","15","Agriculture Market Value"
"timber_use","numeric(15)","1886","1900","15","Timber Use Value"
"timber_market","numeric(15)","1901","1915","15","Timber Market Value"
"appraised_val","numeric(15)","1916","1930","15","Appraised Value"
"ten_percent_cap","numeric(15)","1931","1945","15","Ten Percent Homestead Cap Adjustment"
"assessed_val","numeric(15)","1946","1960","15","Assessed Value (Appraised - Cap)"
"filler","char(20)","1961","1980","20","Not In Use"
"arb_protest_flag","char(1)","1981","1981","1","ARB Protest Flag; indicates if a protest has been filed on behalf of this property.  (T / F)"
"filler","int(12)","1982","1993","12","Not In Use"
"deed_book_id","char(20)","1994","2013","20","Deed Book ID"
"deed_book_page","char(20)","2014","2033","20","Deed Book Page"
"deed_dt","char(25)","2034","2058","25","Deed Date"
"mortgage_co_id","int(12)","2059","2070","12","Mortgage Company ID"
"mortage_co_name","char(70)","2071","2140","70","Name of Mortgage Company"
"mortgage_acct_id","char(50)","2141","2190","50","Mortgage Loan Number"
"jan1_owner_id","int(12)","2191","2202","12","January 1 Owner ID"
"jan1_owner_name","char(70)","2203","2272","70","January 1 Owner Name"
"jan1_addr_line1","char(60)","2273","2332","60","January 1 Address Line 1"
"jan1_addr_line2","char(60)","2333","2392","60","January 1 Address Line 2"
"jan1_addr_line3","char(60)","2393","2452","60","January 1 Address Line 3"
"jan1_addr_city","char(50)","2453","2502","50","January 1 Address City"
"jan1_addr_state","char(50)","2503","2552","50","January 1 Address State"
"jan1_addr_country","char(5)","2553","2557","5","January 1 Address Country"
"jan1_addr_zip","char(5)","2558","2562","5","January 1 Address Zip  (Zip Only)"
"jan1_addr_zip_cass","char(4)","2563","2566","4","January 1 Address Zip Cass (Cass Only)"
"jan1_addr_zip_rt","char(2)","2567","2568","2","January 1 Address Zip  Route (Route Only)"
"jan1_confidential_flag","char(1)","2569","2569","1","January 1 Owner Confidential Flag ('T' or 'F')"
"jan1_address_suppress_flag","char(1)","2570","2570","1","January 1 Owner 
Address Suppression Flag ('T' or 'F')"
"filler","char(37)","2571","2607","37","Not In Use"
"jan1_ml_deliverable","char(1)","2608","2608","1","January 1 Owner Address
Y = deliverable address
N = undeliverable address"
"hs_exempt","char(1)","2609","2609","1","Homestead Exemption    (‘T’ or ‘F’)
‘T’ indicates that the property has the exemption"
"ov65_exempt","char(1)","2610","2610","1","Over 65 Exemption (‘T’ or ‘F’)"
"ov65_prorate_begin","char(25)","2611","2635","25","date the exemption began – used for proration"
"ov65_prorate_end","char(25)","2636","2660","25","date the exemption ended – used for proration"
"ov65s_exempt","char(1)","2661","2661","1","Over 65 Surviving Spouse (‘T’ or ‘F’)"
"dp_exempt","char(1)","2662","2662","1","Disabled Person (‘T’ or ‘F’)"
"dv1_exempt","char(1)","2663","2663","1","Disabled Veteran - 10% to 30%  (‘T’ or ‘F’)"
"dv1s_exempt","char(1)","2664","2664","1","Disabled Veteran - 10% to 30%  Surviving Spouse"
"dv2_exempt","char(1)","2665","2665","1","Disabled Veteran - 31% to 50%  (‘T’ or ‘F’)"
"dv2s_exempt","char(1)","2666","2666","1","Disabled Veteran - 31% to 50% Surviving Spouse"
"dv3_exempt","char(1)","2667","2667","1","Disabled Veteran - 51% to 70% ('T' or 'F')"
"dv3s_exempt","char(1)","2668","2668","1","Disabled Veteran - 51% to 70% Surviving Spouse"
"dv4_exempt","char(1)","2669","2669","1","Disabled Veteran - 71% to 100%  (‘T’ or ‘F’)"
"dv4s_exempt","char(1)","2670","2670","1","Disabled Veteran - 71% to 100% Surviving Spouse"
"ex_exempt","char(1)","2671","2671","1","EX (Total Exemption) (‘T’ or ‘F’)"
"ex_prorate_begin","char(25)","2672","2696","25","Date the exemption began – used for proration"
"ex_prorate_end","char(25)","2697","2721","25","Date the exemption ended – used for proration"
"lve_exempt","char(1)","2722","2722","1","Leased vehicle exemption"
"ab_exempt","char(1)","2723","2723","1","Abatement (‘T’ or ‘F’)"
"en_exempt","char(1)","2724","2724","1","Energy  Exemption (‘T’ or ‘F’)"
"fr_exempt","char(1)","2725","2725","1","Freeport Exemption (‘T’ or ‘F’)"
"ht_exempt","char(1)","2726","2726","1","Historical Exemption (‘T’ or ‘F’)"
"pro_exempt","char(1)","2727","2727","1","Prorated Exemption (‘T’ or ‘F’)"
"pc_exempt","char(1)","2728","2728","1","Pollution Control Exemption (‘T’ or ‘F’)"
"so_exempt","char(1)","2729","2729","1","Solar Exemption (‘T’ or ‘F’)"
"ex366_exempt","char(1)","2730","2730","1","Exemption for properties under $500 ('T' or 'F')"
"ch_exempt","char(1)","2731","2731","1","Charitable Exemption ('T' or 'F')"
"imprv_state_cd","char(10)","2732","2741","10","State Code that is on the improvements"
"land_state_cd","char(10)","2742","2751","10","State Code that is on the land"
"personal_state_cd","char(10)","2752","2761","10","State Code that is on the personal property"
"mineral_state_cd","char(10)","2762","2771","10","State Code that is on the mineral"
"land_acres","numeric(20)","2772","2791","20","Sum of the acres based on land segments"
"entity_agent_id","int(12)","2792","2803","12","Agent for Entity Documents (I.E. Statements)
If id <> 0, then will contain information for the agent that is to receive entity documents"
"entity_agent_name","char(70)","2804","2873","70","Entity Agent Name"
"entity_agent_addr_line1","char(60)","2874","2933","60","Entity Agent Address Line 1"
"entity_agent_addr_line2","char(60)","2934","2993","60","Entity Agent Address Line 2"
"entity_agent_addr_line3","char(60)","2994","3053","60","Entity Agent Address Line 3"
"entity_agent_city","char(50)","3054","3103","50","Entity Agent Address City"
"entity_agent_state","char(50)","3104","3153","50","Entity Agent Address State"
"entity_agent_country","char(5)","3154","3158","5","Entity Agent Address Country"
"entity_agent_zip","char(5)","3159","3163","5","Entity Agent Address Zip (Zip Only)"
"entity_agent_cass","char(4)","3164","3167","4","Entity Agent Address Zip Cass (Cass Only)"
"entity_agent_rt","char(2)","3168","3169","2","Entity Agent Address Zip Route (Route Only)"
"filler","char(34)","3170","3203","34","Filler"
"ca_agent_id","int(12)","3204","3215","12","Agent for Chief Appraiser Documents (I.E. Appraisal Notice)
If id <> 0, then will contain information for the agent that is to receive chief appraiser documents"
"ca_agent_name","char(70)","3216","3285","70","Chief Appraiser Agent Name"
"ca_agent_addr_line1","char(60)","3286","3345","60","Chief Appraiser Address Line 1"
"ca_agent_addr_line2","char(60)","3346","3405","60","Chief Appraiser Address Line 2"
"ca_agent_addr_line3","char(60)","3406","3465","60","Chief Appraiser Address Line 3"
"ca_agent_city","char(50)","3466","3515","50","Chief Appraiser Address City"
"ca_agent_state","char(50)","3516","3565","50","Chief Appraiser Address State"
"ca_agent_country","char(5)","3566","3570","5","Chief Appraiser Address Country"
"ca_agent_zip","char(5)","3571","3575","5","Chief Appraiser Address Zip (Zip Only)"
"ca_agent_zip_cass","char(4)","3576","3579","4","Chief Appraiser Address Zip Cass (Cass Only)"
"ca_agent_zip_rt","char(2)","3580","3581","2","Chief Appraiser Address Zip Route (Route Only)"
"filler","filler","3582","3615","34","Filler"
